Date,Subways_Ridership,Subways_Percentage_Prepandemic,Buses_Ridership,Buses_Percentage_Prepandemic,LIRR_Ridership, LIRR_Percentage_Prepandemic,Metronorth_Ridership,Metronorth_Percentage_Prepandemic,Access-A-Ride_Total Scheduled,Acces-A-Ride_Percentage_Prepandemic,Bridges_and_Tunnel_Total_Traffic,Bridges_and_Tunnels_Percentage_Prepandemic,Staten_Island_Railway_Ridership,Staten_Island_Rallway_Percentage_Prepandemic,Day_of_Week,Total_Ridership,Subway_Ridership_Ratio
2020-05-06,508824,9,15677,1,14489,5,10107,4,8832,30,444179,46,822,5,Wednesday,564774,0.9009338248573766
2020-05-07,535073,9,16130,1,16139,5,11247,4,8509,28,488836,51,930,5,Thursday,594719,0.8997072567044267
2020-05-08,526054,9,14571,1,15714,5,11242,4,8656,28,483830,50,811,5,Friday,582152,0.9036368508568209
2020-05-09,316883,10,7594,1,7651,6,6017,4,5055,28,371426,39,489,10,Saturday,345739,0.9165381978891591
2020-05-10,271947,11,6367,1,7990,8,5878,6,3962,23,415867,49,406,12,Sunday,298549,0.9108956988635032
2020-05-11,520873,9,15176,1,18349,6,11434,4,7636,26,458041,48,829,5,Monday,581008,0.8964988433894198
2020-05-12,553372,10,15989,1,19018,6,11488,4,8271,28,488406,51,914,5,Tuesday,615856,0.8985412174274505
2020-05-13,565377,10,16170,1,19356,6,11931,4,9437,32,509243,53,956,5,Wednesday,629004,0.8988448404143694
2020-05-14,567392,10,15905,1,19310,6,12131,4,8855,30,520395,54,923,5,Thursday,630643,0.8997039529496086
2020-05-15,587808,10,15481,1,20092,6,12936,5,9473,32,562990,57,976,6,Friday,651798,0.9018254121675734
2020-05-16,360844,11,8742,1,11075,9,8100,5,5947,34,477097,50,485,10,Saturday,397503,0.9077767966531071
2020-05-17,287418,12,6504,1,8793,9,6168,6,3577,21,391606,46,337,10,Sunday,315387,0.9113184753968934
2020-05-18,595469,10,17206,1,22113,7,13141,5,8969,31,505314,53,1036,6,Monday,665135,0.8952603606786592
2020-05-19,610884,11,17296,1,21599,7,12777,4,9290,32,524482,54,1067,6,Tuesday,679852,0.8985543912498603
2020-05-20,623749,11,17674,1,22224,7,12753,4,10224,35,542409,56,1044,6,Wednesday,694074,0.8986779507660566
2020-05-21,629298,11,17565,1,22585,7,13294,5,9731,33,585552,61,1069,6,Thursday,700307,0.8986030412376287
2020-05-22,633883,11,16453,1,22830,7,14711,5,9782,33,626983,65,1046,6,Friday,704330,0.8999801229537291
2020-05-23,335830,10,7186,1,10983,9,7613,5,5550,32,394091,41,420,9,Saturday,368798,0.9106068904928986
2020-05-24,320015,13,6642,1,11871,12,8977,9,4117,24,461170,54,361,10,Sunday,354147,0.903621942300796
2020-05-25,393918,16,7996,1,19321,20,12982,12,5428,32,445015,52,441,13,Monday,442213,0.8907879234667456
2020-05-26,656766,11,17819,1,26691,8,14937,5,9875,34,587269,61,1173,7,Tuesday,734032,0.8947375591254877
2020-05-27,674465,12,17911,1,26483,8,14432,5,11088,38,601140,62,1240,7,Wednesday,751202,0.8978477160603939
2020-05-28,658057,12,17535,1,25175,8,14161,5,10030,34,584628,61,1191,7,Thursday,732463,0.8984167118339084
2020-05-29,657259,11,16378,1,25070,8,15697,5,10185,35,598607,62,1094,6,Friday,730782,0.8993913369513754
2020-05-30,426737,13,9112,1,15557,13,11003,7,6143,35,537179,56,18,0,Saturday,471521,0.9050222577573427
2020-05-31,344426,14,6724,1,13554,14,9390,9,4216,25,495487,57,2,0,Sunday,380818,0.9044372902541371
2020-06-01,687162,12,17833,1,34339,10,16184,5,10760,37,595059,61,1358,8,Monday,773351,0.8885512529239634
2020-06-02,693760,12,16576,1,33769,10,16294,6,11206,38,579411,59,1516,9,Tuesday,776975,0.892898741915763
2020-06-03,681714,12,17830,1,32523,10,15649,5,11962,41,582624,59,1323,8,Wednesday,765546,0.890493843609659
2020-06-04,726672,13,18538,1,29771,9,17149,6,12000,41,650868,66,1346,8,Thursday,810668,0.8963866835745335
2020-06-05,703576,13,16863,1,33482,10,18065,6,11698,40,643562,65,1249,8,Friday,788849,0.8919019989883995
2020-06-06,464198,14,8912,1,18090,15,12179,8,6591,38,551793,56,9,0,Saturday,512291,0.9061217159778329
2020-06-07,377990,14,7579,1,16797,17,11231,10,4650,26,538418,57,95,2,Sunday,421176,0.8974632932550762
2020-06-08,804542,14,25663,1,42630,13,20140,7,11957,41,644829,66,1596,10,Monday,918638,0.8757987368256048
2020-06-09,842306,15,26247,1,42274,13,19543,7,12869,44,680462,69,1662,10,Tuesday,956617,0.8805049460755977
2020-06-10,857015,15,26735,1,43083,13,20517,7,13616,46,680270,69,1767,11,Wednesday,974085,0.8798154165190922
2020-06-11,818297,15,24284,1,40961,12,19525,7,12514,43,656695,67,1576,10,Thursday,927351,0.882402671696046
2020-06-12,896658,16,24459,1,45072,14,24165,8,13224,45,765491,78,1656,10,Friday,1014813,0.8835696822961472
2020-06-13,545316,17,12115,1,25355,21,16675,11,7794,45,631064,64,17,0,Saturday,611576,0.8916569649561134
2020-06-14,430439,16,8731,1,20859,21,13794,13,5195,28,563725,61,7,0,Sunday,482554,0.8920017241593687
2020-06-15,897112,16,27057,1,47545,14,22841,8,12953,44,674785,69,1813,11,Monday,1021612,0.8781337729000834
2020-06-16,932671,17,28049,1,46876,14,22555,8,12939,44,695359,71,1874,12,Tuesday,1058200,0.8813749763749764
2020-06-17,948461,17,27924,1,47166,14,24167,8,14595,50,709679,72,1857,11,Wednesday,1075642,0.8817627054354515
2020-06-18,942382,17,27516,1,47851,14,24081,8,13808,47,729486,74,1936,12,Thursday,1069346,0.881269486209328
2020-06-19,986929,38,25578,2,50201,51,27772,25,13868,77,797518,86,1751,45,Friday,1116058,0.8842990238858554
2020-06-20,576075,18,11899,1,28959,24,18559,12,8185,47,666226,68,22,0,Saturday,647391,0.8898409153046614
2020-06-21,449497,17,9072,1,27094,28,16719,15,6328,35,654913,71,0,0,Sunday,511454,0.8788610510427135
2020-06-22,1000046,18,30863,1,53878,16,25367,9,13314,45,733290,75,2027,13,Monday,1141017,0.8764514463851109
2020-06-23,1050786,19,32305,2,52898,16,24909,8,15069,51,744822,76,2219,14,Tuesday,1193203,0.8806431093451826
2020-06-24,1068333,19,32504,2,52354,16,25277,9,15155,52,752749,77,2194,14,Wednesday,1210972,0.8822111493907373
2020-06-25,1078796,19,32393,2,53444,16,25644,9,14854,51,781617,79,2210,14,Thursday,1222670,0.8823280198254639
2020-06-26,1102382,20,30480,1,55647,17,29700,10,15048,51,830887,85,2115,13,Friday,1248689,0.8828315136915597
2020-06-27,615398,19,12942,1,26773,22,17932,11,8541,49,630730,64,686,14,Saturday,685987,0.897098633064475
